,check_1,check_2,title,year,author1_surname,author1_givenname,author2_surname,author2_givenname,gender_author1,gender_author2,type,country,wordcount,language,translated,adaptation (read comment),horror,detective,sci-fi,fantasy,romantic,gothic,historical,feminist fiction,mystery,adventure,tragedy,children,regency,manners,philosophical,coming-of-age,filename
gjf58,js2896,,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,1891,Wilde,Oscar,N/A,N/A,Male,N/A,Novel,Ireland,20601,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,being_earnest.txt
mn454,ar2465,jlp367,The House on the Borderland,1908,Hodgson,William Hope,,,Male,,Novel,United Kingdom,"50,142",English,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hodgson_TheHouseOnTheBorderland.txt
kg428,icr6,sb844,The House of the Whispering Pines,1910,Green,Anna Katharine,,,female,,Novel,United States,111607,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Green_TheHouseoftheWhisperingPines.txt
vs339,thh55,cl2264,The House of the Vampire,1907,Viereck,George Silvester,N/A,N/A,Male,N/A,Novel,United Kingdom,"26,947",English,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Viereck_TheHouseOfTheVampire.txt
xf89,yc2669,fhh26,The House of Souls,1922,Machen,Arthur,N/A,N/A,Male,N/A,Novel,United Kingdom,"83,447",English,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Machen_TheHouseofSouls.txt
ss3697,gt294,jk2345,The Hound of the Baskervilles,1902,Conan Doyle,Arthur,,,Male,,Novel,United Kingdom,59957,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doyle_TheHoundOfThe Baskervilles.txt
aaa429,,,The Great God Pan,1894,Machen,Arthur,N/A,N/A,Male,N/A,Novella,United Kingdom,21632,English,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Machen_TheGreatGodPan.txt
sb844,khk58,jk2345,The Great Gatsby,1925,Fitzgerald,F. Scott,,,Male,,Novel,United States,"48,176",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Fitzgerald_TheGreatGatsby.txt
kjm258,ejs345,,"The Golden Slipper, and Other Problems for Violet Strange",1915,Green,Anna Katharine,,,Female,,Novel,United States,91051,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Green_TheGoldenSlipper.txt
jmt348,mab558,tr333,The Gloved Hand,1913,Stevenson,Burton,,,Male,,Novel,United States,"71,760",English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stevenson_TheGlovedHand.txt
sx236,nsg57,cc2583,"The Garden Party, and Other Stories",1922,Mansfield,Katherine,,,Female,,Short Stories,New Zealand,"57,671",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The_Garden_Party.txt
jmt348,mab558,tr333,The Four Corners,1906,Blanchard,Amy,,,Female,,Novel,United States,"73,444",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Blanchard_TheFourCorners.txt
